Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
BK,BANK OF NEW YORK MELLON CORP,Equity,0.35,38.06,"426,899.00","16,247,775.94","16,247,775.94",Financials,B1Z77F6,US0640581007,New York Stock Exchange Inc.
BLK,BLACKROCK INC.,Equity,0.39,354.91,"50,088.00","17,776,732.08","17,776,732.08",Financials,"2,494,504.00",US09247X1019,New York Stock Exchange Inc.
BRK-B,BERKSHIRE HATHAWAY INC CLASS B,Equity,2.33,143.72,"743,204.00","106,813,278.88","106,813,278.88",Financials,"2,073,390.00",US0846707026,New York Stock Exchange Inc.
C,CITIGROUP INC,Equity,1.15,44.98,"1,168,949.00","52,579,326.02","52,579,326.02",Financials,"2,297,907.00",US1729674242,New York Stock Exchange Inc.
COF,CAPITAL ONE FINANCIAL CORP,Equity,0.33,71.47,"209,271.00","14,956,598.37","14,956,598.37",Financials,"2,654,461.00",US14040H1059,New York Stock Exchange Inc.
GS,GOLDMAN SACHS GROUP INC,Equity,0.55,160.91,"155,862.00","25,079,754.42","25,079,754.42",Financials,"2,407,966.00",US38141G1040,New York Stock Exchange Inc.
JPM,JPMORGAN CHASE & CO,Equity,1.99,62.59,"1,455,802.00","91,118,647.18","91,118,647.18",Financials,"2,190,385.00",US46625H1005,New York Stock Exchange Inc.
MET,METLIFE INC,Equity,0.43,44.85,"435,186.00","19,518,092.10","19,518,092.10",Financials,"2,573,209.00",US59156R1086,New York Stock Exchange Inc.
MS,MORGAN STANLEY,Equity,0.35,26.17,"606,220.00","15,864,777.40","15,864,777.40",Financials,"2,262,314.00",US6174464486,New York Stock Exchange Inc.
SPG,SIMON PROPERTY GROUP REIT INC,Equity,0.56,207.95,"122,786.00","25,533,348.70","25,533,348.70",Financials,"2,812,452.00",US8288061091,New York Stock Exchange Inc.
USB,US BANCORP,Equity,0.58,41.28,"648,053.00","26,751,627.84","26,751,627.84",Financials,"2,736,035.00",US9029733048,New York Stock Exchange Inc.
WFC,WELLS FARGO,Equity,1.95,48.79,"1,832,458.00","89,405,625.82","89,405,625.82",Financials,"2,649,100.00",US9497461015,New York Stock Exchange Inc.
ABBV,ABBVIE INC,Equity,0.83,59.28,"639,383.00","37,902,624.24","37,902,624.24",Health Care,B92SR70,US00287Y1091,New York Stock Exchange Inc.
ABT,ABBOTT LABORATORIES,Equity,0.55,43.51,"584,624.00","25,436,990.24","25,436,990.24",Health Care,"2,002,305.00",US0028241000,New York Stock Exchange Inc.
AGN,ALLERGAN,Equity,0.74,216.39,"156,629.00","33,892,949.31","33,892,949.31",Health Care,BY9D546,IE00BY9D5467,New York Stock Exchange Inc.
AMGN,AMGEN INC,Equity,1.04,160.12,"298,449.00","47,787,653.88","47,787,653.88",Health Care,"2,023,607.00",US0311621009,NASDAQ
BIIB,BIOGEN INC,Equity,0.51,270.56,"86,772.00","23,477,032.32","23,477,032.32",Health Care,"2,455,965.00",US09062X1037,NASDAQ
BMY,BRISTOL MYERS SQUIBB,Equity,0.98,67.87,"662,488.00","44,963,060.56","44,963,060.56",Health Care,"2,126,335.00",US1101221083,New York Stock Exchange Inc.
CELG,CELGENE CORP,Equity,0.72,106.99,"310,182.00","33,186,372.18","33,186,372.18",Health Care,"2,182,348.00",US1510201049,NASDAQ
GILD,GILEAD SCIENCES INC,Equity,1.16,98.19,"541,976.00","53,216,623.44","53,216,623.44",Health Care,"2,369,174.00",US3755581036,NASDAQ
JNJ,JOHNSON & JOHNSON,Equity,2.62,109.84,"1,094,634.00","120,234,598.56","120,234,598.56",Health Care,"2,475,833.00",US4781601046,New York Stock Exchange Inc.
LLY,ELI LILLY,Equity,0.64,75.63,"386,251.00","29,212,163.13","29,212,163.13",Health Care,"2,516,152.00",US5324571083,New York Stock Exchange Inc.
MDT,MEDTRONIC PLC,Equity,0.94,77.37,"558,007.00","43,173,001.59","43,173,001.59",Health Care,BTN1Y11,IE00BTN1Y115,New York Stock Exchange Inc.
MRK,MERCK & CO INC,Equity,1.35,56.45,"1,100,550.00","62,126,047.50","62,126,047.50",Health Care,"2,778,844.00",US58933Y1055,New York Stock Exchange Inc.
PFE,PFIZER INC,Equity,1.71,32.65,"2,398,748.00","78,319,122.20","78,319,122.20",Health Care,"2,684,703.00",US7170811035,New York Stock Exchange Inc.
UNH,UNITEDHEALTH GROUP INC,Equity,1.05,127.98,"376,951.00","48,242,188.98","48,242,188.98",Health Care,"2,917,766.00",US91324P1021,New York Stock Exchange Inc.
BA,BOEING,Equity,0.7,130.85,"247,125.00","32,336,306.25","32,336,306.25",Industrials,"2,108,601.00",US0970231058,New York Stock Exchange Inc.
CAT,CATERPILLAR INC,Equity,0.4,79.05,"231,075.00","18,266,478.75","18,266,478.75",Industrials,"2,180,201.00",US1491231015,New York Stock Exchange Inc.
DHR,DANAHER CORP,Equity,0.49,94.05,"237,219.00","22,310,446.95","22,310,446.95",Industrials,"2,250,870.00",US2358511028,New York Stock Exchange Inc.
